frame_id,timestamp,img_x,img_y,court_x,court_y,valid,confidence
0,0.0,,,,,0,0.0
1,0.03333333333333333,,,,,0,0.0
2,0.06666666666666667,,,,,0,0.0
3,0.1,,,,,0,0.0
4,0.13333333333333333,,,,,0,0.0
5,0.16666666666666666,,,,,0,0.0
6,0.2,,,,,0,0.0
7,0.23333333333333334,,,,,0,0.0
8,0.26666666666666666,,,,,0,0.0
9,0.3,,,,,0,0.0
10,0.3333333333333333,,,,,0,0.0
11,0.36666666666666664,,,,,0,0.0
12,0.4,,,,,0,0.0
13,0.43333333333333335,,,,,0,0.0
14,0.4666666666666667,,,,,0,0.0
15,0.5,,,,,0,0.0
16,0.5333333333333333,,,,,0,0.0
17,0.5666666666666667,,,,,0,0.0
18,0.6,,,,,0,0.0
19,0.6333333333333333,,,,,0,0.0
20,0.6666666666666666,,,,,0,0.0
21,0.7,,,,,0,0.0
22,0.7333333333333333,,,,,0,0.0
23,0.7666666666666667,,,,,0,0.0
24,0.8,,,,,0,0.0
25,0.8333333333333334,,,,,0,0.0
26,0.8666666666666667,,,,,0,0.0
27,0.9,,,,,0,0.0
28,0.9333333333333333,,,,,0,0.0
29,0.9666666666666667,,,,,0,0.0
30,1.0,,,,,0,0.0
31,1.0333333333333334,,,,,0,0.0
32,1.0666666666666667,,,,,0,0.0
33,1.1,,,,,0,0.0
34,1.1333333333333333,,,,,0,0.0
35,1.1666666666666667,,,,,0,0.0
36,1.2,,,,,0,0.0
37,1.2333333333333334,,,,,0,0.0
38,1.2666666666666666,,,,,0,0.0
39,1.3,,,,,0,0.0
40,1.3333333333333333,,,,,0,0.0
41,1.3666666666666667,,,,,0,0.0
42,1.4,,,,,0,0.0
43,1.4333333333333333,,,,,0,0.0
44,1.4666666666666666,,,,,0,0.0
45,1.5,,,,,0,0.0
46,1.5333333333333334,,,,,0,0.0
47,1.5666666666666667,,,,,0,0.0
48,1.6,,,,,0,0.0
49,1.6333333333333333,,,,,0,0.0
50,1.6666666666666667,,,,,0,0.0
51,1.7,,,,,0,0.0
52,1.7333333333333334,,,,,0,0.0
53,1.7666666666666666,,,,,0,0.0
54,1.8,,,,,0,0.0
55,1.8333333333333333,,,,,0,0.0
56,1.8666666666666667,,,,,0,0.0
57,1.9,,,,,0,0.0
58,1.9333333333333333,,,,,0,0.0
59,1.9666666666666666,,,,,0,0.0
60,2.0,,,,,0,0.0
61,2.033333333333333,,,,,0,0.0
62,2.066666666666667,,,,,0,0.0
63,2.1,,,,,0,0.0
64,2.1333333333333333,,,,,0,0.0
65,2.1666666666666665,,,,,0,0.0
66,2.2,,,,,0,0.0
67,2.2333333333333334,,,,,0,0.0
68,2.2666666666666666,,,,,0,0.0
69,2.3,,,,,0,0.0
70,2.3333333333333335,,,,,0,0.0
71,2.3666666666666667,,,,,0,0.0
72,2.4,,,,,0,0.0
73,2.433333333333333,,,,,0,0.0
74,2.466666666666667,,,,,0,0.0
75,2.5,,,,,0,0.0
76,2.533333333333333,,,,,0,0.0
77,2.566666666666667,,,,,0,0.0
78,2.6,,,,,0,0.0
79,2.6333333333333333,,,,,0,0.0
80,2.6666666666666665,,,,,0,0.0
81,2.7,,,,,0,0.0
82,2.7333333333333334,,,,,0,0.0
83,2.7666666666666666,,,,,0,0.0
84,2.8,,,,,0,0.0
85,2.8333333333333335,,,,,0,0.0
86,2.8666666666666667,1160.0,577.0,0.7030841708183289,0.6728505492210388,1,1.0
87,2.9,1160.0,578.0,0.7028926014900208,0.6746049523353577,1,1.0
88,2.933333333333333,1156.0,553.0,0.7037032246589661,0.6296192407608032,1,1.0
89,2.966666666666667,1154.0,532.0,0.7058472037315369,0.5898873209953308,1,1.0
90,3.0,1151.0,513.0,0.706598162651062,0.5523080825805664,1,1.0
91,3.033333333333333,1147.0,495.0,0.7060720324516296,0.5151800513267517,1,1.0
92,3.066666666666667,1143.0,482.0,0.7044425010681152,0.48738813400268555,1,1.0
93,3.1,1143.0,482.0,0.7044425010681152,0.48738813400268555,1,1.0
94,3.1333333333333333,1139.0,468.0,0.7029786109924316,0.4564860463142395,1,1.0
95,3.1666666666666665,1136.0,456.0,0.7021757960319519,0.42915746569633484,1,1.0
96,3.2,1132.0,447.0,0.69952791929245,0.40813663601875305,1,1.0
97,3.2333333333333334,1127.0,439.0,0.6954318881034851,0.38906019926071167,1,1.0
98,3.2666666666666666,1126.0,433.0,0.6955523490905762,0.374492347240448,1,1.0
99,3.3,1124.0,434.0,0.6929774284362793,0.37694236636161804,1,1.0
100,3.3333333333333335,1120.0,428.0,0.6895158290863037,0.3621998131275177,1,1.0
101,3.3666666666666667,1117.0,424.0,0.6867806911468506,0.35224735736846924,1,1.0
102,3.4,1112.0,425.0,0.6806088089942932,0.35476213693618774,1,1.0
103,3.433333333333333,1109.0,426.0,0.6768347024917603,0.35726481676101685,1,1.0
104,3.466666666666667,1105.0,429.0,0.6715031862258911,0.36472055315971375,1,1.0
105,3.5,1105.0,430.0,0.6713155508041382,0.36718931794166565,1,1.0
106,3.533333333333333,1102.0,434.0,0.6670308709144592,0.37701216340065,1,1.0
107,3.566666666666667,1097.0,439.0,0.660269021987915,0.3891582787036896,1,1.0
108,3.6,1094.0,448.0,0.6552631258964539,0.41062745451927185,1,1.0
109,3.6333333333333333,1089.0,458.0,0.647919774055481,0.4339393377304077,1,1.0
110,3.6666666666666665,1084.0,470.0,0.6404680013656616,0.46117621660232544,1,1.0
