frame_id,timestamp,player_id,img_x,img_y,court_x,court_y,valid,confidence,track_id
0,0.0,player_1_foot,1115.0403,829.724,0.6293758749961853,1.0231982469558716,1,0.8664451241493225,4
0,0.0,player_2_foot,721.3254,291.4589,0.14967770874500275,-0.04684273526072502,1,0.9542955160140991,1
1,0.03333333333333333,player_1_foot,1115.0164,829.6857,0.6293604373931885,1.0231565237045288,1,0.8636224269866943,4
1,0.03333333333333333,player_2_foot,720.97723,290.8587,0.14883112907409668,-0.04902483895421028,1,0.9536847472190857,1
2,0.06666666666666667,player_1_foot,1115.329,829.53613,0.6296206712722778,1.0229911804199219,1,0.8423532247543335,4
2,0.06666666666666667,player_2_foot,720.6425,288.75687,0.1471402496099472,-0.056697163730859756,1,0.9594886898994446,1
3,0.1,player_1_foot,1115.4556,829.4516,0.6297281980514526,1.0228979587554932,1,0.8412954807281494,4
3,0.1,player_2_foot,720.54846,288.13196,0.14664337038993835,-0.0589878223836422,1,0.956973671913147,1
4,0.13333333333333333,player_1_foot,1115.3677,829.48596,0.6296557188034058,1.0229361057281494,1,0.8472530245780945,4
4,0.13333333333333333,player_2_foot,720.6299,287.48785,0.14639009535312653,-0.06135321781039238,1,0.9625846147537231,1
5,0.16666666666666666,player_1_foot,1115.3225,829.427,0.6296253204345703,1.0228718519210815,1,0.8557708263397217,4
5,0.16666666666666666,player_2_foot,720.6708,287.7407,0.14659567177295685,-0.06042404845356941,1,0.9604150652885437,1
6,0.2,player_1_foot,1115.2698,829.5042,0.6295768022537231,1.0229566097259521,1,0.8563787341117859,4
6,0.2,player_2_foot,720.6383,287.89026,0.14663471281528473,-0.05987481027841568,1,0.9613572359085083,1
7,0.23333333333333334,player_1_foot,1115.2957,829.6427,0.629584789276123,1.0231077671051025,1,0.8533445596694946,4
7,0.23333333333333334,player_2_foot,720.45325,288.20685,0.14654798805713654,-0.05871321260929108,1,0.96394944190979,1
8,0.26666666666666666,player_1_foot,1115.2462,829.8358,0.6295284032821655,1.023319125175476,1,0.8520660996437073,4
8,0.26666666666666666,player_2_foot,720.35376,288.7329,0.14670655131340027,-0.056785259395837784,1,0.9672950506210327,1
