frame_id,timestamp,source,object_type,object_id,x,y,w,h,confidence,track_id
0,0.0,yolo,player,player_1,1075.951171875,616.2626953125,78.1781005859375,213.4613037109375,0.8664451241493225,4
0,0.0,yolo,player_foot,player_1_foot,1115.0403,829.724,,,0.8664451241493225,4
0,0.0,yolo,player,player_2,683.9733276367188,176.66934204101562,74.7041015625,114.78955078125,0.9542955160140991,1
0,0.0,yolo,player_foot,player_2_foot,721.3254,291.4589,,,0.9542955160140991,1
1,0.03333333333333333,yolo,player,player_1,1075.9501953125,616.3564453125,78.13232421875,213.32928466796875,0.8636224269866943,4
1,0.03333333333333333,yolo,player_foot,player_1_foot,1115.0164,829.6857,,,0.8636224269866943,4
1,0.03333333333333333,yolo,player,player_2,683.8592529296875,176.77883911132812,74.2359619140625,114.07986450195312,0.9536847472190857,1
1,0.03333333333333333,yolo,player_foot,player_2_foot,720.97723,290.8587,,,0.9536847472190857,1
2,0.06666666666666667,yolo,player,player_1,1076.297607421875,616.3789672851562,78.062744140625,213.15716552734375,0.8423532247543335,4
2,0.06666666666666667,yolo,player_foot,player_1_foot,1115.329,829.53613,,,0.8423532247543335,4
2,0.06666666666666667,yolo,player,player_2,684.5174560546875,177.82980346679688,72.2501220703125,110.92706298828125,0.9594886898994446,1
2,0.06666666666666667,yolo,player_foot,player_2_foot,720.6425,288.75687,,,0.9594886898994446,1
3,0.1,yolo,player,player_1,1076.4581298828125,616.455810546875,77.9949951171875,212.99578857421875,0.8412954807281494,4
3,0.1,yolo,player_foot,player_1_foot,1115.4556,829.4516,,,0.8412954807281494,4
3,0.1,yolo,player,player_2,684.6932373046875,178.1628875732422,71.71038818359375,109.96907043457031,0.956973671913147,1
3,0.1,yolo,player_foot,player_2_foot,720.54846,288.13196,,,0.956973671913147,1
4,0.13333333333333333,yolo,player,player_1,1076.34423828125,616.3180541992188,78.0469970703125,213.16790771484375,0.8472530245780945,4
4,0.13333333333333333,yolo,player_foot,player_1_foot,1115.3677,829.48596,,,0.8472530245780945,4
4,0.13333333333333333,yolo,player,player_2,685.0599365234375,178.5529327392578,71.139892578125,108.93492126464844,0.9625846147537231,1
4,0.13333333333333333,yolo,player_foot,player_2_foot,720.6299,287.48785,,,0.9625846147537231,1
5,0.16666666666666666,yolo,player,player_1,1076.14013671875,615.32080078125,78.3646240234375,214.106201171875,0.8557708263397217,4
5,0.16666666666666666,yolo,player_foot,player_1_foot,1115.3225,829.427,,,0.8557708263397217,4
5,0.16666666666666666,yolo,player,player_2,685.0308227539062,178.73068237304688,71.27984619140625,109.010009765625,0.9604150652885437,1
5,0.16666666666666666,yolo,player_foot,player_2_foot,720.6708,287.7407,,,0.9604150652885437,1
6,0.2,yolo,player,player_1,1075.8720703125,614.0532836914062,78.7952880859375,215.450927734375,0.8563787341117859,4
6,0.2,yolo,player_foot,player_1_foot,1115.2698,829.5042,,,0.8563787341117859,4
6,0.2,yolo,player,player_2,685.0841064453125,179.34938049316406,71.10845947265625,108.54087829589844,0.9613572359085083,1
6,0.2,yolo,player_foot,player_2_foot,720.6383,287.89026,,,0.9613572359085083,1
7,0.23333333333333334,yolo,player,player_1,1075.7645263671875,613.23681640625,79.062255859375,216.4058837890625,0.8533445596694946,4
7,0.23333333333333334,yolo,player_foot,player_1_foot,1115.2957,829.6427,,,0.8533445596694946,4
7,0.23333333333333334,yolo,player,player_2,684.6832275390625,179.2465057373047,71.53997802734375,108.96034240722656,0.96394944190979,1
7,0.23333333333333334,yolo,player_foot,player_2_foot,720.45325,288.20685,,,0.96394944190979,1
8,0.26666666666666666,yolo,player,player_1,1075.5775146484375,612.36083984375,79.33740234375,217.4749755859375,0.8520660996437073,4
8,0.26666666666666666,yolo,player_foot,player_1_foot,1115.2462,829.8358,,,0.8520660996437073,4
8,0.26666666666666666,yolo,player,player_2,684.3323364257812,179.31478881835938,72.0428466796875,109.41812133789062,0.9672950506210327,1
8,0.26666666666666666,yolo,player_foot,player_2_foot,720.35376,288.7329,,,0.9672950506210327,1
